"U1","U2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.7727,2.7727,1,1.26,1.26,0.5,0.25
2.818,2.818,1,1.264,1.264,0.5,0.25
2.8633,2.8633,1,1.268,1.268,0.5,0.25
nan,nan,0,1.272,1.272,0.5,0.25
3.008,3.008,1,1.276,1.276,0.5,0.25
3.0415,3.0415,1,1.28,1.28,0.5,0.25
3.0751,3.0751,1,1.284,1.284,0.5,0.25
3.1086,3.1086,1,1.288,1.288,0.5,0.25
3.1421,3.1421,1,1.292,1.292,0.5,0.25
3.1756,3.1756,1,1.296,1.296,0.5,0.25
3.2092,3.2092,1,1.3,1.3,0.5,0.25
3.2427,3.2427,1,1.304,1.304,0.5,0.25
3.4179,3.4179,1,1.308,1.308,0.5,0.25
3.438,3.438,1,1.312,1.312,0.5,0.25
3.4581,3.4581,1,1.316,1.316,0.5,0.25
3.4783,3.4783,1,1.32,1.32,0.5,0.25
3.4984,3.4984,1,1.324,1.324,0.5,0.25
3.5185,3.5185,1,1.328,1.328,0.5,0.25
3.5386,3.5386,1,1.332,1.332,0.5,0.25
3.5588,3.5588,1,1.336,1.336,0.5,0.25
3.5789,3.5789,1,1.34,1.34,0.5,0.25
3.599,3.599,1,1.344,1.344,0.5,0.25
3.6191,3.6191,1,1.348,1.348,0.5,0.25
3.6393,3.6393,1,1.352,1.352,0.5,0.25
3.6594,3.6594,1,1.356,1.356,0.5,0.25
3.6795,3.6795,1,1.36,1.36,0.5,0.25
3.6996,3.6996,1,1.364,1.364,0.5,0.25
3.727,3.727,1,1.368,1.368,0.5,0.25
3.7431,3.7431,1,1.372,1.372,0.5,0.25
3.7592,3.7592,1,1.376,1.376,0.5,0.25
3.7753,3.7753,1,1.38,1.38,0.5,0.25
3.7913,3.7913,1,1.384,1.384,0.5,0.25
3.8292,3.8292,1,1.388,1.388,0.5,0.25
3.8357,3.8357,1,1.392,1.392,0.5,0.25
3.8422,3.8422,1,1.396,1.396,0.5,0.25
3.8488,3.8488,1,1.4,1.4,0.5,0.25
3.8553,3.8553,1,1.404,1.404,0.5,0.25
3.8618,3.8618,1,1.408,1.408,0.5,0.25
3.8684,3.8684,1,1.412,1.412,0.5,0.25
3.8749,3.8749,1,1.416,1.416,0.5,0.25
3.8815,3.8815,1,1.42,1.42,0.5,0.25
3.888,3.888,1,1.424,1.424,0.5,0.25
3.8945,3.8945,1,1.428,1.428,0.5,0.25
3.9011,3.9011,1,1.432,1.432,0.5,0.25
3.9076,3.9076,1,1.436,1.436,0.5,0.25
3.9142,3.9142,1,1.44,1.44,0.5,0.25
3.9328,3.9328,1,1.444,1.444,0.5,0.25
3.9551,3.9551,1,1.448,1.448,0.5,0.25
3.9566,3.9566,1,1.452,1.452,0.5,0.25
3.9581,3.9581,1,1.456,1.456,0.5,0.25
3.9596,3.9596,1,1.46,1.46,0.5,0.25
3.9652,3.9652,1,1.464,1.464,0.5,0.25
3.9665,3.9665,1,1.468,1.468,0.5,0.25
3.9678,3.9678,1,1.472,1.472,0.5,0.25
3.969,3.969,1,1.476,1.476,0.5,0.25
3.9703,3.9703,1,1.48,1.48,0.5,0.25
3.9715,3.9716,1,1.484,1.484,0.5,0.25
3.9728,3.9728,1,1.488,1.488,0.5,0.25
3.9741,3.9741,1,1.492,1.492,0.5,0.25
