"Density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.014195,1,2.655,2.655,0.5,0.25
0.014209,1,2.66,2.66,0.5,0.25
0.014219,1,2.665,2.665,0.5,0.25
0.014226,1,2.67,2.67,0.5,0.25
0.01423,1,2.675,2.675,0.5,0.25
0.01423,1,2.68,2.68,0.5,0.25
0.014227,1,2.685,2.685,0.5,0.25
0.014221,1,2.69,2.69,0.5,0.25
0.014211,1,2.695,2.695,0.5,0.25
0.014199,1,2.7,2.7,0.5,0.25
0.014182,1,2.705,2.705,0.5,0.25
0.014163,1,2.71,2.71,0.5,0.25
0.01414,1,2.715,2.715,0.5,0.25
0.014114,1,2.72,2.72,0.5,0.25
0.014084,1,2.725,2.725,0.5,0.25
0.014052,1,2.73,2.73,0.5,0.25
0.014015,1,2.735,2.735,0.5,0.25
0.014229,1,2.74,2.74,0.5,0.25
0.014263,1,2.745,2.745,0.5,0.25
0.014294,1,2.75,2.75,0.5,0.25
0.014324,1,2.755,2.755,0.5,0.25
0.014351,1,2.76,2.76,0.5,0.25
0.014375,1,2.765,2.765,0.5,0.25
0.014398,1,2.77,2.77,0.5,0.25
0.014418,1,2.775,2.775,0.5,0.25
0.014435,1,2.78,2.78,0.5,0.25
0.01445,1,2.785,2.785,0.5,0.25
0.014463,1,2.79,2.79,0.5,0.25
0.014474,1,2.795,2.795,0.5,0.25
0.014482,1,2.8,2.8,0.5,0.25
0.014488,1,2.805,2.805,0.5,0.25
0.014491,1,2.81,2.81,0.5,0.25
0.014493,1,2.815,2.815,0.5,0.25
0.014491,1,2.82,2.82,0.5,0.25
0.014488,1,2.825,2.825,0.5,0.25
0.014482,1,2.83,2.83,0.5,0.25
0.014474,1,2.835,2.835,0.5,0.25
0.013384,1,2.84,2.84,0.5,0.25
0.013396,1,2.845,2.845,0.5,0.25
0.013412,1,2.85,2.85,0.5,0.25
0.01343,1,2.855,2.855,0.5,0.25
0.013452,1,2.86,2.86,0.5,0.25
0.013476,1,2.865,2.865,0.5,0.25
0.013504,1,2.87,2.87,0.5,0.25
