"U","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-9.412,1,0.0954,1.9954,0.5,0.25
-9.3736,1,0.0956,1.9956,0.5,0.25
-9.3346,1,0.0958,1.9958,0.5,0.25
-9.295,1,0.096,1.996,0.5,0.25
-9.2548,1,0.0962,1.9962,0.5,0.25
-9.214,1,0.0964,1.9964,0.5,0.25
-9.1726,1,0.0966,1.9966,0.5,0.25
-9.1307,1,0.0968,1.9968,0.5,0.25
-9.0881,1,0.097,1.997,0.5,0.25
-9.0449,1,0.0972,1.9972,0.5,0.25
-9.0011,1,0.0974,1.9974,0.5,0.25
-8.9567,1,0.0976,1.9976,0.5,0.25
-8.9117,1,0.0978,1.9978,0.5,0.25
-8.8661,1,0.098,1.998,0.5,0.25
-8.8199,1,0.0982,1.9982,0.5,0.25
-8.7731,1,0.0984,1.9984,0.5,0.25
-8.7257,1,0.0986,1.9986,0.5,0.25
-8.6777,1,0.0988,1.9988,0.5,0.25
-1.0555,1,0.099,1.999,0.5,0.25
-0.6094,1,0.0992,1.9992,0.5,0.25
-0.1715,1,0.0994,1.9994,0.5,0.25
0.25818,1,0.0996,1.9996,0.5,0.25
0.6794,1,0.0998,1.9998,0.5,0.25
1.0927,1,0.1,2,0.5,0.25
1.4977,1,0.1002,2.0002,0.5,0.25
1.8945,1,0.1004,2.0004,0.5,0.25
2.2831,1,0.1006,2.0006,0.5,0.25
2.6631,1,0.1008,2.0008,0.5,0.25
3.0353,1,0.101,2.001,0.5,0.25
3.3993,1,0.1012,2.0012,0.5,0.25
3.755,1,0.1014,2.0014,0.5,0.25
4.1028,1,0.1016,2.0016,0.5,0.25
4.4421,1,0.1018,2.0018,0.5,0.25
4.7732,1,0.102,2.002,0.5,0.25
5.0957,1,0.1022,2.0022,0.5,0.25
5.4104,1,0.1024,2.0024,0.5,0.25
5.7168,1,0.1026,2.0026,0.5,0.25
6.0151,1,0.1028,2.0028,0.5,0.25
6.3051,1,0.103,2.003,0.5,0.25
6.5869,1,0.1032,2.0032,0.5,0.25
6.8605,1,0.1034,2.0034,0.5,0.25
7.1255,1,0.1036,2.0036,0.5,0.25
7.3827,1,0.1038,2.0038,0.5,0.25
7.6316,1,0.104,2.004,0.5,0.25
7.8723,1,0.1042,2.0042,0.5,0.25
8.1048,1,0.1044,2.0044,0.5,0.25
8.3291,1,0.1046,2.0046,0.5,0.25
8.5451,1,0.1048,2.0048,0.5,0.25
8.753,1,0.105,2.005,0.5,0.25
8.9524,1,0.1052,2.0052,0.5,0.25
9.1438,1,0.1054,2.0054,0.5,0.25
9.327,1,0.1056,2.0056,0.5,0.25
9.5019,1,0.1058,2.0058,0.5,0.25
9.6687,1,0.106,2.006,0.5,0.25
9.8272,1,0.1062,2.0062,0.5,0.25
9.9775,1,0.1064,2.0064,0.5,0.25
10.119,1,0.1066,2.0066,0.5,0.25
10.253,1,0.1068,2.0068,0.5,0.25
10.379,1,0.107,2.007,0.5,0.25
10.496,1,0.1072,2.0072,0.5,0.25
10.606,1,0.1074,2.0074,0.5,0.25
10.707,1,0.1076,2.0076,0.5,0.25
10.799,1,0.1078,2.0078,0.5,0.25
10.884,1,0.108,2.008,0.5,0.25
10.96,1,0.1082,2.0082,0.5,0.25
11.028,1,0.1084,2.0084,0.5,0.25
11.088,1,0.1086,2.0086,0.5,0.25
11.14,1,0.1088,2.0088,0.5,0.25
11.183,1,0.109,2.009,0.5,0.25
11.219,1,0.1092,2.0092,0.5,0.25
11.245,1,0.1094,2.0094,0.5,0.25
11.264,1,0.1096,2.0096,0.5,0.25
11.275,1,0.1098,2.0098,0.5,0.25
11.277,1,0.11,2.01,0.5,0.25
11.271,1,0.1102,2.0102,0.5,0.25
11.257,1,0.1104,2.0104,0.5,0.25
11.235,1,0.1106,2.0106,0.5,0.25
11.204,1,0.1108,2.0108,0.5,0.25
11.166,1,0.111,2.011,0.5,0.25
11.119,1,0.1112,2.0112,0.5,0.25
11.063,1,0.1114,2.0114,0.5,0.25
11,1,0.1116,2.0116,0.5,0.25
10.928,1,0.1118,2.0118,0.5,0.25
10.848,1,0.112,2.012,0.5,0.25
10.76,1,0.1122,2.0122,0.5,0.25
10.664,1,0.1124,2.0124,0.5,0.25
10.559,1,0.1126,2.0126,0.5,0.25
10.446,1,0.1128,2.0128,0.5,0.25
10.325,1,0.113,2.013,0.5,0.25
10.196,1,0.1132,2.0132,0.5,0.25
10.059,1,0.1134,2.0134,0.5,0.25
9.9128,1,0.1136,2.0136,0.5,0.25
9.759,1,0.1138,2.0138,0.5,0.25
9.5968,1,0.114,2.014,0.5,0.25
9.4264,1,0.1142,2.0142,0.5,0.25
9.2478,1,0.1144,2.0144,0.5,0.25
9.061,1,0.1146,2.0146,0.5,0.25
10,1,0.1148,2.0148,0.5,0.25
10,1,0.115,2.015,0.5,0.25
10,1,0.1152,2.0152,0.5,0.25
10,1,0.1154,2.0154,0.5,0.25
10,1,0.1156,2.0156,0.5,0.25
10,1,0.1158,2.0158,0.5,0.25
10,1,0.116,2.016,0.5,0.25
10,1,0.1162,2.0162,0.5,0.25
