"U","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.7991,1,2.268,2.268,0.5,0.25
9.8126,1,2.272,2.272,0.5,0.25
9.826,1,2.276,2.276,0.5,0.25
9.8391,1,2.28,2.28,0.5,0.25
9.8465,1,2.284,2.284,0.5,0.25
9.854,1,2.288,2.288,0.5,0.25
9.8614,1,2.292,2.292,0.5,0.25
9.8688,1,2.296,2.296,0.5,0.25
9.8763,1,2.3,2.3,0.5,0.25
9.8837,1,2.304,2.304,0.5,0.25
9.8911,1,2.308,2.308,0.5,0.25
9.8986,1,2.312,2.312,0.5,0.25
9.906,1,2.316,2.316,0.5,0.25
9.9134,1,2.32,2.32,0.5,0.25
9.9209,1,2.324,2.324,0.5,0.25
9.9283,1,2.328,2.328,0.5,0.25
9.9358,1,2.332,2.332,0.5,0.25
9.9432,1,2.336,2.336,0.5,0.25
9.9385,1,2.34,2.34,0.5,0.25
9.9409,1,2.344,2.344,0.5,0.25
9.9434,1,2.348,2.348,0.5,0.25
9.9458,1,2.352,2.352,0.5,0.25
9.9482,1,2.356,2.356,0.5,0.25
9.9507,1,2.36,2.36,0.5,0.25
9.9531,1,2.364,2.364,0.5,0.25
9.9594,1,2.368,2.368,0.5,0.25
9.9625,1,2.372,2.372,0.5,0.25
9.9655,1,2.376,2.376,0.5,0.25
9.9686,1,2.38,2.38,0.5,0.25
9.9717,1,2.384,2.384,0.5,0.25
9.9703,1,2.388,2.388,0.5,0.25
9.9717,1,2.392,2.392,0.5,0.25
9.9731,1,2.396,2.396,0.5,0.25
9.9746,1,2.4,2.4,0.5,0.25
9.976,1,2.404,2.404,0.5,0.25
9.9774,1,2.408,2.408,0.5,0.25
9.9789,1,2.412,2.412,0.5,0.25
9.9803,1,2.416,2.416,0.5,0.25
9.9817,1,2.42,2.42,0.5,0.25
9.9832,1,2.424,2.424,0.5,0.25
9.9846,1,2.428,2.428,0.5,0.25
9.9842,1,2.432,2.432,0.5,0.25
9.9851,1,2.436,2.436,0.5,0.25
9.986,1,2.44,2.44,0.5,0.25
9.9869,1,2.444,2.444,0.5,0.25
9.9878,1,2.448,2.448,0.5,0.25
9.9887,1,2.452,2.452,0.5,0.25
9.9896,1,2.456,2.456,0.5,0.25
9.9905,1,2.46,2.46,0.5,0.25
9.9914,1,2.464,2.464,0.5,0.25
9.9924,1,2.468,2.468,0.5,0.25
9.9933,1,2.472,2.472,0.5,0.25
9.9942,1,2.476,2.476,0.5,0.25
9.9951,1,2.48,2.48,0.5,0.25
